Month,Isopod_ID,Field_Habitat,Color_Initial,Tank_ID,Trial_Type,Time_Interval,Time (h),Location,Location_Color,Location_Habitat,Sex,Weather,Date_of_Collection,Area (cmsq)
June,GR27,Fucus,GR,A,BASU/BAFU,1,11:01,BASU,B,ASU,M,"63F, Overcast",Mid June,0.301
June,GR27,Fucus,GR,A,BASU/BAFU,2,12:05,BASU,B,ASU,M,"63F, Overcast",Mid June,0.301
June,GR27,Fucus,GR,A,BASU/BAFU,3,13:01,BASU,B,ASU,M,"63F, Overcast",Mid June,0.301
June,BR27,Fucus,BR,B,GASU/GAFU,0,10:06,GASU,G,ASU,F,"63F, Overcast",Mid June,0.507
June,BR27,Fucus,BR,B,GASU/GAFU,1,11:06,GAFU,G,AFU,F,"63F, Overcast",Mid June,0.507
June,BR27,Fucus,BR,B,GASU/GAFU,2,12:08,GAFU,G,AFU,F,"63F, Overcast",Mid June,0.507
June,BR27,Fucus,BR,B,GASU/GAFU,3,13:06,GASU,G,ASU,F,"63F, Overcast",Mid June,0.507
June,GR28,Fucus,GR,C,BASU/BAFU,0,10:12,TW,NONE,TW,M,"63F, Overcast",Mid June,0.202
June,GR28,Fucus,GR,C,BASU/BAFU,1,11:12,TW,NONE,TW,M,"63F, Overcast",Mid June,0.202
June,GR28,Fucus,GR,C,BASU/BAFU,2,12:12,TW,NONE,TW,M,"63F, Overcast",Mid June,0.202
June,GR28,Fucus,GR,C,BASU/BAFU,3,13:12,TW,NONE,TW,M,"63F, Overcast",Mid June,0.202
June,BR28,Fucus,BR,D,GASU/GAFU,0,10:16,TW,NONE,TW,F,"63F, Overcast",Mid June,0.387
June,BR28,Fucus,BR,D,GASU/GAFU,1,11:16,GASU,G,ASU,F,"63F, Overcast",Mid June,0.387
June,BR28,Fucus,BR,D,GASU/GAFU,2,12:16,GASU,G,ASU,F,"63F, Overcast",Mid June,0.387
June,BR28,Fucus,BR,D,GASU/GAFU,3,13:16,GASU,G,ASU,F,"63F, Overcast",Mid June,0.387
June,BR29,Fucus,BR,A,BASU/BAFU,0,9:37,BASU,B,ASU,F,"55F, Cloudy",Mid June,0.269
June,BR29,Fucus,BR,A,BASU/BAFU,1,10:37,BASU,B,ASU,F,"55F, Cloudy",Mid June,0.269
June,BR29,Fucus,BR,A,BASU/BAFU,2,11:42,BASU,B,ASU,F,"55F, Cloudy",Mid June,0.269
June,BR29,Fucus,BR,A,BASU/BAFU,3,12:37,BASU,B,ASU,F,"55F, Cloudy",Mid June,0.269
June,GR29,Fucus,GR,B,GASU/GAFU,0,9:40,GAFU,G,AFU,M,"55F, Cloudy",Mid June,0.26
June,GR29,Fucus,GR,B,GASU/GAFU,1,10:40,GASU,G,ASU,M,"55F, Cloudy",Mid June,0.26
June,GR29,Fucus,GR,B,GASU/GAFU,2,11:40,GASU,G,ASU,M,"55F, Cloudy",Mid June,0.26
June,GR29,Fucus,GR,B,GASU/GAFU,3,12:40,GASU,G,ASU,M,"55F, Cloudy",Mid June,0.26
June,BR30,Fucus,BR,C,BASU/BAFU,0,9:44,BASU,B,ASU,M,"55F, Cloudy",Mid June,0.672
June,BR30,Fucus,BR,C,BASU/BAFU,1,10:44,BASU,B,ASU,M,"55F, Cloudy",Mid June,0.672
June,BR30,Fucus,BR,C,BASU/BAFU,2,11:44,BASU,B,ASU,M,"55F, Cloudy",Mid June,0.672
June,BR30,Fucus,BR,C,BASU/BAFU,3,12:44,BASU,B,ASU,M,"55F, Cloudy",Mid June,0.672
June,GR30,Fucus,GR,D,GASU/GAFU,0,9:49,GAFU,G,AFU,F,"55F, Cloudy",Mid June,0.411
June,GR30,Fucus,GR,D,GASU/GAFU,1,10:49,GAFU,G,AFU,F,"55F, Cloudy",Mid June,0.411
June,GR30,Fucus,GR,D,GASU/GAFU,2,11:49,GAFU,G,AFU,F,"55F, Cloudy",Mid June,0.411
June,GR30,Fucus,GR,D,GASU/GAFU,3,12:49,GAFU,G,AFU,F,"55F, Cloudy",Mid June,0.411
June,GR31,Fucus,GR,A,BASU/BAFU,0,12:51,BAFU,B,AFU,M,"66F, Mostly Cloudy",Mid June,1.464
June,GR31,Fucus,GR,A,BASU/BAFU,1,13:51,BAFU,B,AFU,M,"66F, Mostly Cloudy",Mid June,1.464
June,GR31,Fucus,GR,A,BASU/BAFU,2,14:51,BAFU,B,AFU,M,"66F, Mostly Cloudy",Mid June,1.464
June,GR31,Fucus,GR,A,BASU/BAFU,3,15:51,BAFU,B,AFU,M,"66F, Mostly Cloudy",Mid June,1.464
June,BR31,Fucus,BR,B,GASU/GAFU,0,12:55,Drain,NONE,Drain,F,"66F, Mostly Cloudy",Mid June,0.457
June,BR31,Fucus,BR,B,GASU/GAFU,1,13:55,Drain,NONE,Drain,F,"66F, Mostly Cloudy",Mid June,0.457
June,BR31,Fucus,BR,B,GASU/GAFU,2,14:55,Drain,NONE,Drain,F,"66F, Mostly Cloudy",Mid June,0.457
June,BR31,Fucus,BR,B,GASU/GAFU,3,15:55,Drain,NONE,Drain,F,"66F, Mostly Cloudy",Mid June,0.457
June,GR32,Fucus,GR,C,BASU/BAFU,0,13:00,BASU,B,ASU,F,"66F, Mostly Cloudy",Mid June,0.43
June,GR32,Fucus,GR,C,BASU/BAFU,1,14:00,BASU,B,ASU,F,"66F, Mostly Cloudy",Mid June,0.43
June,GR32,Fucus,GR,C,BASU/BAFU,2,15:00,BASU,B,ASU,F,"66F, Mostly Cloudy",Mid June,0.43
June,GR32,Fucus,GR,C,BASU/BAFU,3,16:00,BASU,B,ASU,F,"66F, Mostly Cloudy",Mid June,0.43
June,BR32,Fucus,BR,D,GASU/GAFU,0,13:03,GASU,G,ASU,F,"66F, Mostly Cloudy",Mid June,0.347
June,BR32,Fucus,BR,D,GASU/GAFU,1,14:03,TW,NONE,TW,F,"66F, Mostly Cloudy",Mid June,0.347
June,BR32,Fucus,BR,D,GASU/GAFU,2,15:03,SW,G,ASU,F,"66F, Mostly Cloudy",Mid June,0.347
June,BR32,Fucus,BR,D,GASU/GAFU,3,16:03,SW,NONE,TW,F,"66F, Mostly Cloudy",Mid June,0.347
June,BR33,Fucus,BR,A,BASU/BAFU,0,9:39,BASU,B,ASU,F,"64F, Sunny",Mid June,0.289
June,BR33,Fucus,BR,A,BASU/BAFU,1,10:39,SW,NONE,TW,F,"64F, Sunny",Mid June,0.289
June,BR33,Fucus,BR,A,BASU/BAFU,2,11:39,BASU,B,ASU,F,"64F, Sunny",Mid June,0.289
June,BR33,Fucus,BR,A,BASU/BAFU,3,N/A,N/A,N/A,N/A,F,"64F, Sunny",Mid June,0.289
June,GR33,Fucus,GR,B,GASU/GAFU,0,9:44,GAFU,G,AFU,M,"64F, Sunny",Mid June,0.596
June,GR33,Fucus,GR,B,GASU/GAFU,1,10:44,GAFU,G,AFU,M,"64F, Sunny",Mid June,0.596
June,GR33,Fucus,GR,B,GASU/GAFU,2,11:44,GAFU,G,AFU,M,"64F, Sunny",Mid June,0.596
June,GR33,Fucus,GR,B,GASU/GAFU,3,12:44,GAFU,G,AFU,M,"64F, Sunny",Mid June,0.596
June,BR34,Fucus,BR,C,BASU/BAFU,0,9:49,Drain,NONE,Drain,F,"64F, Sunny",Mid June,0.33
June,BR34,Fucus,BR,C,BASU/BAFU,1,10:49,BASU,B,ASU,F,"64F, Sunny",Mid June,0.33
June,BR34,Fucus,BR,C,BASU/BAFU,2,11:49,BASU,B,ASU,F,"64F, Sunny",Mid June,0.33
June,BR34,Fucus,BR,C,BASU/BAFU,3,12:49,BASU,B,ASU,F,"64F, Sunny",Mid June,0.33
June,GR34,Fucus,GR,D,GASU/GAFU,0,9:54,GAFU,G,AFU,M,"64F, Sunny",Mid June,0.45
June,GR34,Fucus,GR,D,GASU/GAFU,1,10:54,GAFU,G,AFU,M,"64F, Sunny",Mid June,0.45
June,GR34,Fucus,GR,D,GASU/GAFU,2,11:54,GAFU,G,AFU,M,"64F, Sunny",Mid June,0.45
June,GR34,Fucus,GR,D,GASU/GAFU,3,12:54,GAFU,G,AFU,M,"64F, Sunny",Mid June,0.45
June,GR35,Fucus,GR,A,BASU/BAFU,0,13:06,SB,NONE,SB,M,"64F, Sunny",Mid June,1.43
June,GR35,Fucus,GR,A,BASU/BAFU,1,14:06,BAFU,B,AFU,M,"64F, Sunny",Mid June,1.43
June,GR35,Fucus,GR,A,BASU/BAFU,2,15:06,BAFU,B,AFU,M,"64F, Sunny",Mid June,1.43
June,GR35,Fucus,GR,A,BASU/BAFU,3,16:06,BAFU,B,AFU,M,"64F, Sunny",Mid June,1.43
June,BR35,Fucus,BR,B,GASU/GAFU,0,13:10,SB,NONE,SB,F,"64F, Sunny",Mid June,0.481
June,BR35,Fucus,BR,B,GASU/GAFU,1,14:10,GASU,G,ASU,F,"64F, Sunny",Mid June,0.481
June,BR35,Fucus,BR,B,GASU/GAFU,2,15:10,GASU,G,ASU,F,"64F, Sunny",Mid June,0.481
June,BR35,Fucus,BR,B,GASU/GAFU,3,16:10,GASU,G,ASU,F,"64F, Sunny",Mid June,0.481
June,GR36,Fucus,GR,C,BASU/BAFU,0,13:14,SB,NONE,SB,M,"64F, Sunny",Mid June,1.312
June,GR36,Fucus,GR,C,BASU/BAFU,1,14:14,BASU,B,ASU,M,"64F, Sunny",Mid June,1.312
June,GR36,Fucus,GR,C,BASU/BAFU,2,15:14,BASU,B,ASU,M,"64F, Sunny",Mid June,1.312
June,GR36,Fucus,GR,C,BASU/BAFU,3,16:14,BASU,B,ASU,M,"64F, Sunny",Mid June,1.312
June,BR36,Fucus,BR,D,GASU/GAFU,0,13:18,GASU,G,ASU,M,"64F, Sunny",Mid June,1.496
June,BR36,Fucus,BR,D,GASU/GAFU,1,14:18,GASU,G,ASU,M,"64F, Sunny",Mid June,1.496
June,BR36,Fucus,BR,D,GASU/GAFU,2,15:18,GASU,G,ASU,M,"64F, Sunny",Mid June,1.496
June,BR36,Fucus,BR,D,GASU/GAFU,3,16:18,GASU,G,ASU,M,"64F, Sunny",Mid June,1.496
July,BR37,Fucus,BR,A,BASU/BAFU,0,9:46,Drain,NONE,Drain,F,"63F, Raining",Mid June,0.32
July,BR37,Fucus,BR,A,BASU/BAFU,1,10:46,BASU,B,ASU,F,"63F, Raining",Mid June,0.32
July,BR37,Fucus,BR,A,BASU/BAFU,2,11:46,BASU,B,ASU,F,"63F, Raining",Mid June,0.32
July,BR37,Fucus,BR,A,BASU/BAFU,3,12:46,BASU,B,ASU,F,"63F, Raining",Mid June,0.32
July,GR37,Fucus,GR,B,GASU/GAFU,0,9:50,GAFU,G,AFU,M,"63F, Raining",Mid June,0.584
July,GR37,Fucus,GR,B,GASU/GAFU,1,10:50,GAFU,G,AFU,M,"63F, Raining",Mid June,0.584
July,GR37,Fucus,GR,B,GASU/GAFU,2,11:50,GAFU,G,AFU,M,"63F, Raining",Mid June,0.584
July,GR37,Fucus,GR,B,GASU/GAFU,3,12:50,GAFU,G,AFU,M,"63F, Raining",Mid June,0.584
July,BR38,Fucus,BR,C,BASU/BAFU,0,9:54,BASU,B,ASU,F,"63F, Raining",Mid June,0.33
July,BR38,Fucus,BR,C,BASU/BAFU,1,10:54,BASU,B,ASU,F,"63F, Raining",Mid June,0.33
July,BR38,Fucus,BR,C,BASU/BAFU,2,11:54,BASU,B,ASU,F,"63F, Raining",Mid June,0.33
July,BR38,Fucus,BR,C,BASU/BAFU,3,12:54,BASU,B,ASU,F,"63F, Raining",Mid June,0.33
July,GR38,Fucus,GR,D,GASU/GAFU,0,9:57,Drain,NONE,Drain,M,"63F, Raining",Mid June,0.261
July,GR38,Fucus,GR,D,GASU/GAFU,1,10:57,GASU,G,ASU,M,"63F, Raining",Mid June,0.261
July,GR38,Fucus,GR,D,GASU/GAFU,2,11:57,GASU,G,ASU,M,"63F, Raining",Mid June,0.261
July,GR38,Fucus,GR,D,GASU/GAFU,3,12:57,GASU,G,ASU,M,"63F, Raining",Mid June,0.261
July,GR39,Fucus,GR,A,BASU/BAFU,0,12:58,Drain,NONE,Drain,M,"66F, Cloudy",Mid June,0.265
July,GR39,Fucus,GR,A,BASU/BAFU,1,14:00,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.265
July,GR39,Fucus,GR,A,BASU/BAFU,2,14:58,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.265
July,GR39,Fucus,GR,A,BASU/BAFU,3,15:58,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.265
July,BR39,Fucus,BR,B,GASU/GAFU,0,13:02,GASU,G,ASU,M,"66F, Cloudy",Mid June,0.33
July,BR39,Fucus,BR,B,GASU/GAFU,1,14:02,GASU,G,ASU,M,"66F, Cloudy",Mid June,0.33
July,BR39,Fucus,BR,B,GASU/GAFU,2,15:02,GASU,G,ASU,M,"66F, Cloudy",Mid June,0.33
July,BR39,Fucus,BR,B,GASU/GAFU,3,16:02,GASU,G,ASU,M,"66F, Cloudy",Mid June,0.33
July,GR40,Fucus,GR,C,BASU/BAFU,0,13:06,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.26
July,GR40,Fucus,GR,C,BASU/BAFU,1,14:06,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.26
July,GR40,Fucus,GR,C,BASU/BAFU,2,15:06,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.26
July,GR40,Fucus,GR,C,BASU/BAFU,3,16:06,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.26
July,BR40,Fucus,BR,D,GASU/GAFU,0,13:09,SB,NONE,SB,F,"66F, Cloudy",Mid June,0.464
July,BR40,Fucus,BR,D,GASU/GAFU,1,14:12,GAFU,G,AFU,F,"66F, Cloudy",Mid June,0.464
July,BR40,Fucus,BR,D,GASU/GAFU,2,15:09,GAFU,G,AFU,F,"66F, Cloudy",Mid June,0.464
July,BR40,Fucus,BR,D,GASU/GAFU,3,16:09,GAFU,G,AFU,F,"66F, Cloudy",Mid June,0.464
July,BR41,Fucus,BR,A,BASU/BAFU,0,9:45,TW,NONE,TW,F,"66F, Partly Cloudy",Mid June,0.391
July,BR41,Fucus,BR,A,BASU/BAFU,1,10:45,SW,NONE,TW,F,"66F, Partly Cloudy",Mid June,0.391
July,BR41,Fucus,BR,A,BASU/BAFU,2,11:45,BASU,B,ASU,F,"66F, Partly Cloudy",Mid June,0.391
July,BR41,Fucus,BR,A,BASU/BAFU,3,12:45,BASU,B,ASU,F,"66F, Partly Cloudy",Mid June,0.391
July,GR41,Fucus,GR,B,GASU/GAFU,0,9:48,GAFU,G,AFU,M,"66F, Partly Cloudy",Mid June,0.821
July,GR41,Fucus,GR,B,GASU/GAFU,1,10:48,GAFU,G,AFU,M,"66F, Partly Cloudy",Mid June,0.821
July,GR41,Fucus,GR,B,GASU/GAFU,2,11:48,GAFU,G,AFU,M,"66F, Partly Cloudy",Mid June,0.821
July,GR41,Fucus,GR,B,GASU/GAFU,3,1:03,GASU,G,ASU,M,"66F, Partly Cloudy",Mid June,0.821
July,BR42,Fucus,BR,C,BASU/BAFU,0,9:53,BASU,B,ASU,F,"66F, Partly Cloudy",Mid June,0.447
July,BR42,Fucus,BR,C,BASU/BAFU,1,10:53,BASU,B,ASU,F,"66F, Partly Cloudy",Mid June,0.447
July,BR42,Fucus,BR,C,BASU/BAFU,2,11:53,BASU,B,ASU,F,"66F, Partly Cloudy",Mid June,0.447
July,BR42,Fucus,BR,C,BASU/BAFU,3,12:54,BASU,B,ASU,F,"66F, Partly Cloudy",Mid June,0.447
July,GR42,Fucus,GR,D,GASU/GAFU,0,9:55,GAFU,G,AFU,M,"66F, Partly Cloudy",Mid June,1.146
July,GR42,Fucus,GR,D,GASU/GAFU,1,10:55,GAFU,G,AFU,M,"66F, Partly Cloudy",Mid June,1.146
July,GR42,Fucus,GR,D,GASU/GAFU,2,11:55,GAFU,G,AFU,M,"66F, Partly Cloudy",Mid June,1.146
July,GR42,Fucus,GR,D,GASU/GAFU,3,12:55,GAFU,G,AFU,M,"66F, Partly Cloudy",Mid June,1.146
July,GR43,Fucus,GR,A,BASU/BAFU,0,9:43,BASU,B,ASU,M,"66F, Cloudy",Early July,1.151
July,GR43,Fucus,GR,A,BASU/BAFU,1,10:44,BASU,B,ASU,M,"66F, Cloudy",Early July,1.151
July,GR43,Fucus,GR,A,BASU/BAFU,2,11:43,BASU,B,ASU,M,"66F, Cloudy",Early July,1.151
July,GR43,Fucus,GR,A,BASU/BAFU,3,12:46,BAFU,B,AFU,M,"66F, Cloudy",Early July,1.151
July,BR43,Fucus,BR,B,GASU/GAFU,0,9:45,GAFU,G,AFU,F,"66F, Cloudy",Early July,0.628
July,BR43,Fucus,BR,B,GASU/GAFU,1,10:45,GAFU,G,AFU,F,"66F, Cloudy",Early July,0.628
July,BR43,Fucus,BR,B,GASU/GAFU,2,11:45,GAFU,G,AFU,F,"66F, Cloudy",Early July,0.628
July,BR43,Fucus,BR,B,GASU/GAFU,3,12:46,GAFU,G,AFU,F,"66F, Cloudy",Early July,0.628
July,GR44,Fucus,GR,C,BASU/BAFU,0,9:47,TW,NONE,TW,F,"66F, Cloudy",Early July,0.376
July,GR44,Fucus,GR,C,BASU/BAFU,1,10:47,BAFU,B,AFU,F,"66F, Cloudy",Early July,0.376
July,GR44,Fucus,GR,C,BASU/BAFU,2,11:47,BASU,B,ASU,F,"66F, Cloudy",Early July,0.376
July,GR44,Fucus,GR,C,BASU/BAFU,3,12:47,BASU,B,ASU,F,"66F, Cloudy",Early July,0.376
July,BR44,Fucus,BR,D,GASU/GAFU,0,9:49,TW,NONE,TW,F,"66F, Cloudy",Early July,0.376
July,BR44,Fucus,BR,D,GASU/GAFU,1,10:49,GASU,G,ASU,F,"66F, Cloudy",Early July,0.376
July,BR44,Fucus,BR,D,GASU/GAFU,2,11:49,GASU,G,ASU,F,"66F, Cloudy",Early July,0.376
July,BR44,Fucus,BR,D,GASU/GAFU,3,12:55,GAFU,G,AFU,F,"66F, Cloudy",Early July,0.376
July,BR45,Fucus,BR,A,BASU/BAFU,0,12:58,TW,NONE,TW,M,"64F, Partly Cloudy",Mid June,1.685
July,BR45,Fucus,BR,A,BASU/BAFU,1,13:58,TW,NONE,TW,M,"64F, Partly Cloudy",Mid June,1.685
July,BR45,Fucus,BR,A,BASU/BAFU,2,14:58,BASU,B,ASU,M,"64F, Partly Cloudy",Mid June,1.685
July,BR45,Fucus,BR,A,BASU/BAFU,3,15:58,BASU,B,ASU,M,"64F, Partly Cloudy",Mid June,1.685
July,GR45,Fucus,GR,B,GASU/GAFU,0,13:01,GASU,G,ASU,M,"64F, Partly Cloudy",Mid June,0.821
July,GR45,Fucus,GR,B,GASU/GAFU,1,14:01,TW,NONE,TW,M,"64F, Partly Cloudy",Mid June,0.821
July,GR45,Fucus,GR,B,GASU/GAFU,2,15:01,GASU,G,ASU,M,"64F, Partly Cloudy",Mid June,0.821
July,GR45,Fucus,GR,B,GASU/GAFU,3,16:01,GASU,G,ASU,M,"64F, Partly Cloudy",Mid June,0.821
July,BR46,Fucus,BR,C,BASU/BAFU,0,13:06,BAFU,B,AFU,F,"64F, Partly Cloudy",Mid June,0.315
July,BR46,Fucus,BR,C,BASU/BAFU,1,14:06,BAFU,B,AFU,F,"64F, Partly Cloudy",Mid June,0.315
July,BR46,Fucus,BR,C,BASU/BAFU,2,15:06,BAFU,B,AFU,F,"64F, Partly Cloudy",Mid June,0.315
July,BR46,Fucus,BR,C,BASU/BAFU,3,16:06,BAFU,B,AFU,F,"64F, Partly Cloudy",Mid June,0.315
July,GR46,Fucus,GR,D,GASU/GAFU,0,13:08,GAFU,G,AFU,M,"64F, Partly Cloudy",Mid June,0.452
July,GR46,Fucus,GR,D,GASU/GAFU,1,14:08,GASU,G,ASU,M,"64F, Partly Cloudy",Mid June,0.452
July,GR46,Fucus,GR,D,GASU/GAFU,2,15:08,GASU,G,ASU,M,"64F, Partly Cloudy",Mid June,0.452
July,GR46,Fucus,GR,D,GASU/GAFU,3,16:08,GASU,G,ASU,M,"64F, Partly Cloudy",Mid June,0.452
July,GR47,Fucus,GR,A,BASU/BAFU,0,9:43,BAFU,B,AFU,F,"63F, Cloudy",Early May,0.471
July,GR47,Fucus,GR,A,BASU/BAFU,1,10:43,SW,NONE,SB,F,"63F, Cloudy",Early May,0.471
July,GR47,Fucus,GR,A,BASU/BAFU,2,11:44,BASU,B,ASU,F,"63F, Cloudy",Early May,0.471
July,GR47,Fucus,GR,A,BASU/BAFU,3,12:44,BASU,B,ASU,F,"63F, Cloudy",Early May,0.471
July,BR47,Fucus,BR,B,GASU/GAFU,0,9:47,TW,NONE,TW,F,"63F, Cloudy",Early May,0.497
July,BR47,Fucus,BR,B,GASU/GAFU,1,10:47,GASU,G,ASU,F,"63F, Cloudy",Early May,0.497
July,BR47,Fucus,BR,B,GASU/GAFU,2,11:48,GASU,G,ASU,F,"63F, Cloudy",Early May,0.497
July,BR47,Fucus,BR,B,GASU/GAFU,3,12:47,GASU,G,ASU,F,"63F, Cloudy",Early May,0.497
July,GR48,Fucus,GR,C,BASU/BAFU,0,9:52,BASU,B,ASU,F,"63F, Cloudy",Early May,0.686
July,GR48,Fucus,GR,C,BASU/BAFU,1,10:52,BASU,B,ASU,F,"63F, Cloudy",Early May,0.686
July,GR48,Fucus,GR,C,BASU/BAFU,2,11:52,BASU,B,ASU,F,"63F, Cloudy",Early May,0.686
July,GR48,Fucus,GR,C,BASU/BAFU,3,12:52,SW,B,ASU,F,"63F, Cloudy",Early May,0.686
July,BR48,Fucus,BR,D,GASU/GAFU,0,9:57,GAFU,G,AFU,F,"63F, Cloudy",Early May,0.323
July,BR48,Fucus,BR,D,GASU/GAFU,1,10:57,GAFU,G,AFU,F,"63F, Cloudy",Early May,0.323
July,BR48,Fucus,BR,D,GASU/GAFU,2,11:57,GAFU,G,AFU,F,"63F, Cloudy",Early May,0.323
July,BR48,Fucus,BR,D,GASU/GAFU,3,12:57,GAFU,G,AFU,F,"63F, Cloudy",Early May,0.323
July,GR49,Eelgrass,GR,A,BASU/BAFU,0,12:59,BAFU,B,AFU,M,"70F, Mostly Cloudy",Early July,1.148
July,GR49,Eelgrass,GR,A,BASU/BAFU,1,13:59,BAFU,B,AFU,M,"70F, Mostly Cloudy",Early July,1.148
July,GR49,Eelgrass,GR,A,BASU/BAFU,2,14:59,BAFU,B,AFU,M,"70F, Mostly Cloudy",Early July,1.148
July,GR49,Eelgrass,GR,A,BASU/BAFU,3,15:59,BAFU,B,AFU,M,"70F, Mostly Cloudy",Early July,1.148
July,BR49,Eelgrass,BR,B,GASU/GAFU,0,13:01,SB,NONE,SB,M,"70F, Mostly Cloudy",Early July,1.462
July,BR49,Eelgrass,BR,B,GASU/GAFU,1,14:01,GAFU,G,AFU,M,"70F, Mostly Cloudy",Early July,1.462
July,BR49,Eelgrass,BR,B,GASU/GAFU,2,15:01,GAFU,G,AFU,M,"70F, Mostly Cloudy",Early July,1.462
July,BR49,Eelgrass,BR,B,GASU/GAFU,3,16:04,GASU,G,ASU,M,"70F, Mostly Cloudy",Early July,1.462
July,GR50,Eelgrass,GR,C,BASU/BAFU,0,13:04,BAFU,B,AFU,M,"70F, Mostly Cloudy",Early July,0.188
July,GR50,Eelgrass,GR,C,BASU/BAFU,1,14:04,BAFU,B,AFU,M,"70F, Mostly Cloudy",Early July,0.188
July,GR50,Eelgrass,GR,C,BASU/BAFU,2,15:04,BAFU,B,AFU,M,"70F, Mostly Cloudy",Early July,0.188
July,GR50,Eelgrass,GR,C,BASU/BAFU,3,16:05,BAFU,B,AFU,M,"70F, Mostly Cloudy",Early July,0.188
July,BR50,Eelgrass,BR,D,GASU/GAFU,0,13:06,GAFU,G,AFU,F,"70F, Mostly Cloudy",Early July,0.409
July,BR50,Eelgrass,BR,D,GASU/GAFU,1,14:06,GAFU,G,AFU,F,"70F, Mostly Cloudy",Early July,0.409
July,BR50,Eelgrass,BR,D,GASU/GAFU,2,15:06,GAFU,G,AFU,F,"70F, Mostly Cloudy",Early July,0.409
July,BR50,Eelgrass,BR,D,GASU/GAFU,3,16:06,GAFU,G,AFU,F,"70F, Mostly Cloudy",Early July,0.409
July,BR51,Eelgrass,BR,A,GASU/BAFU,0,12:42,SB,NONE,SB,F,"66F, Cloudy",Mid June,0.554
July,BR51,Eelgrass,BR,A,GASU/BAFU,1,13:45,SB,NONE,SB,F,"66F, Cloudy",Mid June,0.554
July,BR51,Eelgrass,BR,A,GASU/BAFU,2,14:42,SB,NONE,SB,F,"66F, Cloudy",Mid June,0.554
July,BR51,Eelgrass,BR,A,GASU/BAFU,3,15:42,GASU,G,ASU,F,"66F, Cloudy",Mid June,0.554
July,GR51,Eelgrass,GR,B,BASU/GAFU,0,12:46,TW,NONE,TW,F,"66F, Cloudy",Mid June,0.25
July,GR51,Eelgrass,GR,B,BASU/GAFU,1,13:46,BASU,B,ASU,F,"66F, Cloudy",Mid June,0.25
July,GR51,Eelgrass,GR,B,BASU/GAFU,2,14:46,BASU,B,ASU,F,"66F, Cloudy",Mid June,0.25
July,GR51,Eelgrass,GR,B,BASU/GAFU,3,15:46,BASU,B,ASU,F,"66F, Cloudy",Mid June,0.25
July,BR52,Eelgrass,BR,C,GASU/BAFU,0,12:50,SB,NONE,SB,F,"66F, Cloudy",Mid June,0.678
July,BR52,Eelgrass,BR,C,GASU/BAFU,1,13:50,SB,NONE,SB,F,"66F, Cloudy",Mid June,0.678
July,BR52,Eelgrass,BR,C,GASU/BAFU,2,14:50,SB,NONE,SB,F,"66F, Cloudy",Mid June,0.678
July,BR52,Eelgrass,BR,C,GASU/BAFU,3,15:50,SB,NONE,SB,F,"66F, Cloudy",Mid June,0.678
July,GR52,Eelgrass,GR,D,BASU/GAFU,0,12:53,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.41
July,GR52,Eelgrass,GR,D,BASU/GAFU,1,13:53,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.41
July,GR52,Eelgrass,GR,D,BASU/GAFU,2,14:53,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.41
July,GR52,Eelgrass,GR,D,BASU/GAFU,3,15:53,BASU,B,ASU,M,"66F, Cloudy",Mid June,0.41
July,BR53,Fucus,BR,A,GASU/BAFU,0,9:47,GASU,G,ASU,F,"66F, Partly Cloudy",Early July,0.388
July,BR53,Fucus,BR,A,GASU/BAFU,1,10:47,GASU,G,ASU,F,"66F, Partly Cloudy",Early July,0.388
July,BR53,Fucus,BR,A,GASU/BAFU,2,11:47,GASU,G,ASU,F,"66F, Partly Cloudy",Early July,0.388
July,BR53,Fucus,BR,A,GASU/BAFU,3,12:46,BAFU,B,AFU,F,"66F, Partly Cloudy",Early July,0.388
July,GR53,Fucus,GR,B,BASU/GAFU,0,9:48,BASU,B,ASU,M,"66F, Partly Cloudy",Early July,0.826
July,GR53,Fucus,GR,B,BASU/GAFU,1,10:48,BASU,B,ASU,M,"66F, Partly Cloudy",Early July,0.826
July,GR53,Fucus,GR,B,BASU/GAFU,2,11:48,BASU,B,ASU,M,"66F, Partly Cloudy",Early July,0.826
July,GR53,Fucus,GR,B,BASU/GAFU,3,12:50,GAFU,G,AFU,M,"66F, Partly Cloudy",Early July,0.826
July,BR54,Fucus,BR,C,GASU/BAFU,0,9:50,BAFU,B,AFU,F,"66F, Partly Cloudy",Early July,0.352
July,BR54,Fucus,BR,C,GASU/BAFU,1,10:50,BAFU,B,AFU,F,"66F, Partly Cloudy",Early July,0.352
July,BR54,Fucus,BR,C,GASU/BAFU,2,11:50,BAFU,B,AFU,F,"66F, Partly Cloudy",Early July,0.352
July,BR54,Fucus,BR,C,GASU/BAFU,3,13:00,BAFU,B,AFU,F,"66F, Partly Cloudy",Early July,0.352
