Isopod_ID,Isopod_Color,Field_Habitat,Trial_Type,Date_of_Collection,Area (cmsq),BAFU_sum,BASU_sum,GAFU_sum,GASU_sum,SW_sum,SB_sum,TW_sum,Drain_sum,total_time,BAFU_prop,BASU_prop,GAFU_prop,GASU_prop,SW_prop,SB_prop,TW_prop,Drain_prop
GR62,Green,Fucus,BASU/GAFU,Mid June,1.419,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR63,Green,Eelgrass,BASU/GAFU,Mid June,0.615,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR64,Green,Eelgrass,BASU/GAFU,Mid June,0.57,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR65,Green,Fucus,BASU/GAFU,Mid June,0.395,0,2,1,0,0,1,0,0,4,0,0.5,0.25,0,0,0.25,0,0
GR66,Green,Fucus,BASU/GAFU,Mid June,0.814,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR67,Green,Fucus,BASU/GAFU,Mid June,0.926,0,3,0,0,0,0,1,0,4,0,0.75,0,0,0,0,0.25,0
GR68,Green,Fucus,BASU/GAFU,Early May,1.924,0,0,3,0,0,1,0,0,4,0,0,0.75,0,0,0.25,0,0
GR69,Green,Eelgrass,BASU/GAFU,Mid June,0.443,0,2,2,0,0,0,0,0,4,0,0.5,0.5,0,0,0,0,0
GR7,Green,Eelgrass,BASU/BAFU,Late April,0.469,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
GR70,Green,Eelgrass,BASU/GAFU,Mid June,0.384,0,2,1,0,0,0,1,0,4,0,0.5,0.25,0,0,0,0.25,0
GR71,Green,Eelgrass,BASU/GAFU,Mid June,0.34,0,3,1,0,0,0,0,0,4,0,0.75,0.25,0,0,0,0,0
GR72,Green,Eelgrass,BASU/GAFU,Mid June,0.437,0,3,0,0,0,0,0,1,4,0,0.75,0,0,0,0,0,0.25
GR73,Green,Fucus,BASU/GAFU,Early July,0.264,0,1,0,0,2,1,0,0,4,0,0.25,0,0,0.5,0.25,0,0
GR74,Green,Fucus,BASU/GAFU,Early July,0.147,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR75,Green,Eelgrass,BASU/GAFU,Early May,0.314,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR76,Green,Eelgrass,BASU/GAFU,Early May,1.104,0,3,0,0,0,1,0,0,4,0,0.75,0,0,0,0.25,0,0
GR77,Green,Eelgrass,BASU/GAFU,Mid June,0.293,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR78,Green,Eelgrass,BASU/GAFU,Mid June,0.328,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR79,Green,Fucus,BASU/GAFU,Mid June,1.053,0,2,2,0,0,0,0,0,4,0,0.5,0.5,0,0,0,0,0
GR8,Green,Eelgrass,BASU/BAFU,Late April,0.846,0,1,0,0,1,1,1,0,4,0,0.25,0,0,0.25,0.25,0.25,0
GR80,Green,Fucus,BASU/GAFU,Mid June,1.285,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
GR81,Green,Fucus,BASU/GAFU,Mid June,0.281,0,2,2,0,0,0,0,0,4,0,0.5,0.5,0,0,0,0,0
GR82,Green,Eelgrass,BASU/GAFU,Mid June,0.596,0,4,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0
GR83,Green,Eelgrass,BASU/GAFU,Early May,0.402,0,3,1,0,0,0,0,0,4,0,0.75,0.25,0,0,0,0,0
GR84,Green,Eelgrass,BASU/GAFU,Early May,0.235,0,3,0,0,0,1,0,0,4,0,0.75,0,0,0,0.25,0,0
GR85,Green,Fucus,GASU/BAFU,Mid June,0.743,4,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
GR86,Green,Fucus,GASU/BAFU,Mid June,0.778,2,0,0,1,0,1,0,0,4,0.5,0,0,0.25,0,0.25,0,0
GR87,Green,Fucus,GASU/BAFU,Mid June,0.281,1,0,0,3,0,0,0,0,4,0.25,0,0,0.75,0,0,0,0
GR88,Green,Fucus,GASU/BAFU,Mid June,1.151,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR89,Green,Fucus,GASU/BAFU,Early July,0.365,3,0,0,1,0,0,0,0,4,0.75,0,0,0.25,0,0,0,0
GR9,Green,Eelgrass,GASU/GAFU,Late April,0.195,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
GR90,Green,Fucus,GASU/BAFU,Early July,1.103,3,0,0,1,0,0,0,0,4,0.75,0,0,0.25,0,0,0,0
GR91,Green,Fucus,GASU/BAFU,Early May,0.46,3,0,0,1,0,0,0,0,4,0.75,0,0,0.25,0,0,0,0
GR92,Green,Fucus,GASU/BAFU,Early May,0.473,1,0,0,2,0,0,1,0,4,0.25,0,0,0.5,0,0,0.25,0
GR93,Green,Fucus,GASU/BAFU,Mid June,0.269,2,0,0,2,0,0,0,0,4,0.5,0,0,0.5,0,0,0,0
GR94,Green,Fucus,GASU/BAFU,Mid June,0.253,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR95,Green,Fucus,GASU/BAFU,Early July,0.298,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR96,Green,Fucus,GASU/BAFU,Early July,0.441,0,0,0,2,0,0,2,0,4,0,0,0,0.5,0,0,0.5,0
GR97,Green,Fucus,GASU/BAFU,Early May,0.259,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR98,Green,Fucus,GASU/BAFU,Early May,0.314,0,0,0,4,0,0,0,0,4,0,0,0,1,0,0,0,0
GR99,Green,Eelgrass,GASU/GAFU,Early August,0.378,0,0,4,0,0,0,0,0,4,0,0,1,0,0,0,0,0
